Feature	Gain	Cover	Frequency
mplazo_fijo_dolares	0,00275252548627064	0,0104858768883902	0,00203464923369572
ccuenta_debitos_automaticos	0,00257075599805506	0,00303738048318521	0,00611598704566523
Master_mpagospesos	0,00254147358455151	0,00477151523073702	0,00588723949868169
mdescubierto_preacordado	0,00249165429227051	0,00644152419146521	0,00150491807226015
cpagomiscuentas	0,00247979024094864	0,00507094538073407	0,00727176412516103
catm_trx	0,00246050057031998	0,0051205074387561	0,0039007476432983
Master_mconsumospesos	0,00240362811278949	0,00379030835172001	0,00592335753241594
Master_msaldototal	0,00238000547033798	0,00589563231083256	0,00500836734448177
Master_mpagominimo	0,00236683362581045	0,00537084788330897	0,00423784929148457
ccaja_ahorro	0,00235158552534503	0,00622738864442455	0,0024319476047724
matm	0,0023422542667207	0,0039199512962537	0,00535750833724612
tmobile_app	0,00226014509409798	0,00869552148122028	0,0014688000385259
ccajas_consultas	0,00220440585022154	0,00899279036844039	0,0012761705252766
Master_msaldopesos	0,00214419972346188	0,00300809176926389	0,00353956730595586
Visa_mconsumosdolares	0,00213449950357679	0,0021583672984448	0,00333489844812848
mtarjeta_master_consumo	0,00208757348519819	0,00535292845333869	0,00279312794211483
ctarjeta_visa_debitos_automaticos	0,00208664167709479	0,00436314216737884	0,00408133781196952
mvr_mpagado	0,00198069964537354	0,00214723775840035	0,00241990826019432
mv_fultimo_cierre	0,00191612775414747	0,00400986453702954	0,00281720663127099
Visa_mpagado	0,00187707908409076	0,00208366923345483	0,00260049842886553
Master_mconsumototal	0,00173245232303335	0,00379326019856986	0,00440640011557771
ccaja_seguridad	0,00171764950689765	0,00573797143778718	0,00108354101202731
Master_fultimo_cierre	0,00168205914774665	0,00152962177885706	0,00220320005778885
cplazo_fijo	0,00158033211690319	0,0056041550941177	0,000902950843356088
mv_status01	0,00155631700164939	0,000714729386275564	0,000686242640950627
Master_cconsumos	0,00154111026151517	0,00382555427360588	0,00464718700713933
Visa_status	0,00140854240144349	0,0017285407230648	0,000565849195169815
mv_mpagado	0,00133010542100801	0,0020427714916759	0,00203464923369572
ccajas_transacciones	0,00128455585048504	0,00228591747846058	0,00137248528190125
mv_status06	0,00125201195858133	0,000449099559489551	0,000433416404810922
Visa_fultimo_cierre	0,00117334251001073	0,00160422993988206	0,00158919348430671
tpaquete3	0,0011035962057896	0,00751380378699675	0,0010233442891369
internet	0,0010824750139487	0,00218361889622485	0,000939068877090331
mv_mconsumosdolares	0,00103962533188381	0,00191318634254826	0,00168550824093136
ctarjeta_master_transacciones	0,00102396689386749	0,0035657724856841	0,00167346889635328
mvr_mconsumosdolares	0,00101390788977835	0,00142964714276345	0,00157715413972863
ccajas_otras	0,000920990341516622	0,0072561083418811	0,00061400657348214
Visa_msaldodolares	0,000914258797754323	0,00321994118690961	0,00109558035660539
cseguro_accidentes_personales	0,000890923578114944	0,00252995608318318	0,000975186910824575
mprestamos_prendarios	0,000752619681798146	0,00945311008546289	0,000770518052997195
mv_status07	0,000722459121634103	0,000435854422174181	0,00040933771565476
Visa_mpagosdolares	0,00068989359665475	0,00102446923777936	0,00119189511323004
mttarjeta_master_debitos_automaticos	0,000683806799339213	0,00151743336989185	0,00104742297829306
ccheques_emitidos	0,000632571889333392	0,00470695847570037	0,000493613127701328
mv_msaldodolares	0,000606571147716215	0,00226048464570354	0,00081867543130952
mcheques_emitidos	0,000584888181444608	0,00471178189477335	0,000457495093967085
matm_other	0,000584371364284081	0,00212201470156157	0,00137248528190125
Master_status	0,000572357851006311	0,000678132050821022	0,000433416404810922
cseguro_vivienda	0,0005021289676347	0,0013077616260643	0,000674203296372546
Master_mpagosdolares	0,000492191693581033	0,00110393578053039	0,00125209183612044
mvr_msaldodolares	0,000488135495158457	0,00186921902253678	0,000758478708419114
mforex_sell	0,000486857800113098	0,00154344701080355	0,000902950843356088
cforex	0,000472272913656852	0,00225226271404998	0,000710321330106789
mvr_msaldodolares2	0,000423155061352945	0,00273271735160809	0,000758478708419114
Master_mconsumosdolares	0,000422058529143349	0,00111438319207872	0,00195037382164915
ctarjeta_master	0,00041579849828897	0,000118707482889809	0,000180590168671218
tpaquete1	0,000398162419501061	0,00497871604257496	0,000493613127701328
mv_status05	0,000372174964600795	0,00038086673121857	0,00061400657348214
mv_mpagosdolares	0,000354149720800844	0,0024489076587628	0,000553809850591734
tpaquete4	0,000335848321010659	0,00134349916566338	0,000481573783123247
Master_mpagado	0,000312436172604698	0,00102924913191693	0,000505652472279409
catm_trx_other	0,000309710870605465	0,000947447226647269	0,000866832809621844
mvr_mpagosdolares	0,000291087518147373	0,00266906391736232	0,000601967228904059
minversion2	0,000284441288043506	0,00260597273965938	0,000433416404810922
mcheques_depositados	0,000277862992170006	0,00167565649948007	0,000337101648186273
ccheques_depositados	0,000274344179087085	0,00211797401780264	0,000373219681920516
ctarjeta_master_debitos_automaticos	0,000266058606879997	0,00101757517341793	0,000433416404810922
ccajas_extracciones	0,000251920190370842	0,00128109796521541	0,000577888539747896
cforex_sell	0,000240035227492573	0,00113604291240116	0,000445455749389003
mcaja_ahorro_adicional	0,000221010222905156	0,00283901451971439	0,000397298371076679
ccajas_depositos	0,000220151732038002	0,00274151152913391	0,000445455749389003
cprestamos_prendarios	0,000208437950428977	0,00229499920596961	0,000168550824093136
Master_msaldodolares	0,000203386288422043	0,00104451996253825	0,00072236067468487
mv_status03	0,000200607168996799	0,000155284126161937	0,000192629513249299
mtarjeta_visa_descuentos	0,000196052881262672	0,00180075501264159	0,000421377060232841
ctarjeta_visa	0,000191599338983423	0,000257082528402086	0,000180590168671218
mprestamos_hipotecarios	0,000153095888990174	0,00278183773856411	0,00020466885782738
tcuentas	0,000146830933180327	0,000581137802518512	0,000180590168671218
cseguro_vida	0,000128583301267258	0,000388532828041084	0,000168550824093136
mtarjeta_master_descuentos	0,00011594257809463	0,00169816816689913	0,000276904925295867
mv_Finiciomora	0,000107381041723823	0,000970270703849594	0,000180590168671218
minversion1_pesos	9,44941588815047e-05	0,0024197844823008	0,00020466885782738
Master_delinquency	9,42074200997404e-05	8,98340396638341e-05	0,000108354101202731
cprestamos_hipotecarios	6,7335603223184e-05	0,00165371850498035	0,000120393445780812
Visa_madelantodolares	6,42920294740553e-05	6,44233261362641e-05	0,000216708202405461
Visa_cadelantosefectivo	5,8028658273177e-05	1,38680433583762e-05	6,01967228904058e-05
Visa_delinquency	5,452874989022e-05	0,000173386218156278	0,000144472134936974
Master_madelantodolares	5,17983631863785e-05	8,41187161764605e-05	8,42754120465682e-05
Visa_madelantopesos	5,00703816750398e-05	7,44233584303391e-05	0,00020466885782738
cinversion2	4,55678151594396e-05	0,000389304860502175	0,000120393445780812
cseguro_auto	4,45517271520809e-05	0,000456585134858595	7,2236067468487e-05
Master_madelantopesos	4,00391863342831e-05	6,79609758054774e-05	0,000228747546983542
mcajeros_propios_descuentos	3,67837641059698e-05	0,00010851622628929	4,81573783123247e-05
Visa_Finiciomora	3,29881625313399e-05	0,000157741501204448	4,81573783123247e-05
ccajeros_propios_descuentos	2,75947452674471e-05	2,36968300048895e-05	2,40786891561623e-05
Master_cadelantosefectivo	2,51563661422986e-05	0,000121470959527337	7,2236067468487e-05
cinversion1	1,93414295556376e-05	0,000304735197453802	7,2236067468487e-05
ctarjeta_visa_descuentos	1,78884955787794e-05	0,000179378388773876	3,61180337342435e-05
mforex_buy	1,74721354478007e-05	0,00067277277557587	4,81573783123247e-05
ctarjeta_master_descuentos	1,25606600470246e-05	2,6379678483357e-05	2,40786891561623e-05
cforex_buy	1,19006496526814e-05	0,000502438297563849	3,61180337342435e-05
