fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210919 215207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	382	TRUE	0.0354471394976135	0.445940503831953	4316	560	0.0276999659435824	13045000
20210919 215237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	0.0734228056479478	0.79230152476579	2508	306	0.0326604244753835	12213750
20210919 215335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	299	TRUE	0.0455736285856692	0.348516399906948	6075	658	0.0259780390089145	12808750
20210919 215454	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	315	TRUE	0.0322893000096083	0.582356365732849	3242	764	0.0268200381405768	12610000
20210919 215559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	318	TRUE	0.0212898202856304	0.913192601297051	6447	97	0.0238934500462492	12330000
20210919 215634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0700007584623527	0.287060504471883	1824	700	0.0217806319263182	12880000
20210919 215652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	65	TRUE	0.0963706244445639	0.659348000092432	7863	597	0.0334074152352405	12500000
20210919 215719	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	40	TRUE	0.0858516931936611	0.693580674761906	1485	430	0.0261393499986734	12088750
20210919 215810	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	150	TRUE	0.0501489587810356	0.528277713768184	2169	908	0.0345332958350191	12053750
20210919 215900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	178	TRUE	0.0386842542641098	0.3815701522585	5376	792	0.0224241999975056	12891250
20210919 220033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	464	TRUE	0.0189182392829098	0.72467393450439	3095	251	0.0282624320171308	1.3e+07
20210919 220116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	232	TRUE	0.0616187123887939	0.246695221271366	5883	1009	0.0318781028056983	11878750
20210919 220147	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.0530212236240041	0.936173249511048	3705	197	0.0211997645958909	12596250
20210919 220223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	144	TRUE	0.090121099766111	0.422764479601756	5001	363	0.0233608323376393	12580000
20210919 220241	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	0.0797221430612262	0.876911756452173	7475	158	0.0340278983491007	11718750
