fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20210928 095507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	320	TRUE	0.0308841319140047	0.212488297731616	7368	449	0.0468620344066876	1	13521250
20210928 095743	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	210	TRUE	0.0376737013380043	0.246662199901184	5862	401	0.0463048242671648	2	13551250
20210928 095852	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	108	TRUE	0.0494749873047695	0.169117692385335	3519	367	0.0516929114907398	3	12872500
20210928 100257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	247	TRUE	0.0210693636224605	0.313607026496902	1735	797	0.0434668139663409	4	13746250
20210928 100448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.040569113867823	0.345358431538334	5426	676	0.0438524164158735	5	13565000
20210928 100658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	216	TRUE	0.0329663346074522	0.258674112521112	4481	504	0.0524449747971375	6	13460000
20210928 100807	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0549222807083279	0.227379867982818	2399	723	0.0416904610689962	7	12946250
20210928 101028	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	281	TRUE	0.0236985114482231	0.201881287706783	4765	779	0.0481244374857051	8	13421250
20210928 101212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	142	TRUE	0.0462539331670851	0.338346854717238	6098	630	0.0498178266225732	9	13067500
20210928 101351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	141	TRUE	0.0433426676164381	0.278621988174273	4888	1000	0.0409610578641295	10	13318750
20210928 101516	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	172	TRUE	0.0519345380938612	0.152096445511561	3857	300	0.0445956808831543	11	13296250
20210928 101804	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	178	TRUE	0.0282281453181058	0.393877348143142	1488	597	0.0488528429868747	12	13248750
20210928 101915	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	119	TRUE	0.0532588732084259	0.181522410083562	7673	233	0.0505734276144067	13	13107500
20210928 102112	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	263	TRUE	0.0268230956294574	0.136343051824952	2869	284	0.0493176898029633	14	13452500
20210928 102216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	144	TRUE	0.0453052325365134	0.108448872849112	7195	968	0.0533951763046789	15	12887500
20210928 102424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	118	TRUE	0.0570146283172071	0.357930214358494	3300	165	0.0402934553076047	16	13747500
20210928 102654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	238	TRUE	0.0250998082603328	0.291800275949063	6464	523	0.0424934476327617	17	13540000
20210928 102814	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	85	TRUE	0.0584448438603431	0.301189158161869	2570	872	0.0544603312584222	18	12485000
20210928 102923	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0341187077322975	0.128129813070409	1271	899	0.045813165756932	19	12960000
20210928 103116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0398019506013952	0.382766691185534	6603	121	0.0535147546301014	20	13280000
20210928 103259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	111	TRUE	0.0360936994556681	0.37631280052792	4165	117	0.0400084174464226	21	13350000
20210928 103500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	166	TRUE	0.0595342317019727	0.361699003035216	4766	101	0.0400038923275666	22	13340000
20210928 103835	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	222	TRUE	0.0200069368961535	0.307954260739719	2228	387	0.0410340518070771	23	13967500
20210928 104315	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	320	TRUE	0.02003113240068	0.314902763286503	2818	520	0.0404931915152994	24	14111250
20210928 104631	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	244	TRUE	0.0200181648727837	0.390433685816815	3049	567	0.0400878488658816	25	13945000
20210928 104933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	310	TRUE	0.0200001594998769	0.253890357838905	3157	549	0.0400228134403881	26	13790000
20210928 105250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	283	TRUE	0.0200216587538279	0.330320766035526	3295	516	0.0415612685434246	27	13611250
20210928 105600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	278	TRUE	0.020060258011695	0.340869919589602	2647	852	0.0400259972080438	28	13965000
20210928 105846	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	217	TRUE	0.0200272837546903	0.357762787728552	2760	229	0.0400036301199075	29	13543750
