fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20210927 161338	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	103	TRUE	0.0337670038027555	0.252843458234733	1021	492	0.0441864997896	34	13150000
20210927 161430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	148	TRUE	0.0367537167613759	0.250372472408325	2117	264	0.0444243219284677	35	13827500
20210927 161559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	290	TRUE	0.0223528219625248	0.251041314293416	1904	668	0.0447103211421976	36	13885000
20210927 161644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0496797148572773	0.347186166818318	3538	585	0.0451722318200203	37	13770000
20210927 161740	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	156	TRUE	0.0406856927603609	0.360144570316212	3742	504	0.0483719580069212	38	13593750
20210927 161825	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	120	TRUE	0.0436194176793307	0.253004511650326	1902	558	0.0459782782410536	39	13573750
20210927 161933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	206	TRUE	0.0249828567789916	0.249546166253818	1995	314	0.0458891685036918	40	13881250
20210927 162116	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	370	TRUE	0.0235474050989243	0.249792889152726	1952	180	0.0438999783352311	41	13818750
20210927 162211	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0313073230249569	0.251802395101909	2034	653	0.0486356229872156	42	13165000
20210927 162330	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	268	TRUE	0.0286030606013629	0.24241926638014	1845	460	0.0442390833437613	43	13837500
20210927 162434	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	204	TRUE	0.0327278060202489	0.234317558433165	2153	1012	0.0434713729511184	44	13471250
20210927 162601	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	310	TRUE	0.0395412895860007	0.325718321652191	4450	231	0.0459670101150324	45	13542500
20210927 162647	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	113	TRUE	0.0461061499077977	0.378884618577169	3661	692	0.0441205052115248	46	14047500
20210927 162737	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	0.0501516811052928	0.39791682710569	3789	616	0.0437370515894099	47	13803750
20210927 162850	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	225	TRUE	0.0405827907281149	0.373917772598353	3779	889	0.0441770109062243	48	13465000
20210927 162940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	127	TRUE	0.049949353254892	0.385550393956893	3640	614	0.0436900919865737	49	13622500
20210927 163039	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	212	TRUE	0.0354465886411443	0.252643683010293	4539	791	0.045549360165277	50	13693750
20210927 163237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	460	TRUE	0.0281563663257658	0.334848563054623	5939	431	0.0448493884110288	51	13890000
20210927 163350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	232	TRUE	0.0477200895830244	0.383300558868609	4011	239	0.0431245096917544	52	14513750
20210927 163454	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	258	TRUE	0.0436859612611216	0.255371629025927	7393	858	0.047549371818325	53	13390000
20210927 163612	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	316	TRUE	0.0232295421812031	0.202746598414984	4938	579	0.0458615033447871	54	13700000
20210927 163650	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	144	TRUE	0.0472703868273646	0.100224199597677	1339	182	0.0402118482695625	55	13156250
20210927 163821	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	279	TRUE	0.0214774831080623	0.380860332728364	3430	332	0.0480075010812085	56	13782500
20210927 163940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	402	TRUE	0.0353112850273028	0.169212742519868	7309	481	0.0531053164251405	57	13088750
20210927 164107	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	330	TRUE	0.0215582283482701	0.23783833198566	3526	634	0.0542453654172528	58	12967500
20210927 164216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	286	TRUE	0.0214261863927543	0.178604903691565	3904	397	0.054838586672683	59	13438750
20210927 164335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	394	TRUE	0.020793215559274	0.149174655795563	5809	582	0.0482131209870917	60	13177500
20210927 164414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	0.0520642284099385	0.32519857637086	2806	670	0.0405216156284232	61	14048750
20210927 164506	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	271	TRUE	0.0431290055887587	0.113266044360586	4025	716	0.0495420128558797	62	13853750
20210927 164546	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	0.0487054878046084	0.165035752647091	2835	165	0.041764620742338	63	13822500
20210927 164654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	272	TRUE	0.0415162052139174	0.250959110533167	6337	176	0.0443813409575901	64	13808750
20210927 164747	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0.0389062884127814	0.319905800063117	4493	971	0.0510444244034973	65	13751250
20210927 164838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	115	TRUE	0.0482902412765287	0.380585049841693	1966	327	0.0513221047390229	66	13272500
20210927 164919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	0.0507136843457445	0.34919594908217	5482	416	0.0459849967107456	67	13228750
20210927 165022	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	303	TRUE	0.024689241234893	0.10733393628723	2036	691	0.0472465832690126	68	13265000
20210927 165117	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.0343156245138776	0.181202687871014	3728	806	0.0536480731945508	69	13306250
20210927 165213	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	180	TRUE	0.0575452237354498	0.362951068582083	7147	768	0.0462767185677786	70	13633750
20210927 165258	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	206	TRUE	0.0449140423418954	0.142139673411683	6752	781	0.0400089029454521	71	13196250
20210927 165430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	344	TRUE	0.0248007475621998	0.253932834990462	2968	805	0.0424002336509712	72	14013750
20210927 165556	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	318	TRUE	0.0322401313572656	0.331597272007074	6604	340	0.0454429122604174	73	13605000
20210927 165641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	153	TRUE	0.0426982588306908	0.16824641653928	2358	358	0.0500099814038002	74	13291250
20210927 165734	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.0451989898534119	0.344411689389823	2412	524	0.043827748105498	75	13733750
20210927 165855	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	307	TRUE	0.0569477789729182	0.357932020959118	7762	268	0.0424417977528356	76	13461250
20210927 165946	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	170	TRUE	0.0303236232159566	0.204933976346417	2798	962	0.042635681317203	77	13773750
20210927 170037	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	203	TRUE	0.0329585188276786	0.184481219421653	5819	947	0.0460858680654853	78	13467500
20210927 170200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	415	TRUE	0.0264336030343268	0.165521876247576	5845	292	0.0525000608042907	79	13603750
20210927 170241	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	77	TRUE	0.0592848337364849	0.28887075172253	1084	623	0.0512320512007026	80	12920000
20210927 170332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	202	TRUE	0.0399562031990383	0.223599429848976	7897	865	0.0429763810968259	81	13520000
20210927 170413	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	172	TRUE	0.0426616546218377	0.134121307830885	4710	912	0.0428673832057486	82	13951250
20210927 170518	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	208	TRUE	0.0455021619546134	0.231516344097955	5214	378	0.0450783754633379	83	14042500
20210927 170712	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	447	TRUE	0.0245414379593823	0.306255101090623	7856	144	0.0450942579448433	84	13448750
20210927 170820	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	213	TRUE	0.0555580552421231	0.388019923993736	6117	926	0.0475638737022155	85	13707500
20210927 170914	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	116	TRUE	0.0352774436873011	0.350821709502628	1661	605	0.0483159703241463	86	13567500
20210927 170948	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	76	TRUE	0.0537186924440227	0.273702089368948	3474	1009	0.0436442888854642	87	13328750
20210927 171054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	259	TRUE	0.0403106564330589	0.228855523653096	3735	704	0.0444321747174102	88	13737500
20210927 171132	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0572020490901917	0.19858814532028	2499	201	0.0474082293068792	89	13926250
20210927 171237	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	210	TRUE	0.0539239807527047	0.379126087206556	5329	308	0.0439120284427947	90	14012500
20210927 171340	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	289	TRUE	0.030188247493403	0.171071035516704	5868	206	0.0422206550200353	91	13578750
20210927 171433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	154	TRUE	0.0408674426675681	0.294047009907384	2993	337	0.0447670816573012	92	13776250
20210927 171531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	235	TRUE	0.0317834640223253	0.176400647279853	3702	707	0.0546953027167125	93	13270000
20210927 171616	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	195	TRUE	0.0533632116582245	0.155110187766491	4552	698	0.0462201992469339	94	13490000
20210927 171736	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	468	TRUE	0.0211208445333503	0.105327674123412	4795	469	0.0429619938646827	95	13408750
20210927 171833	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.0425504251965042	0.210987605964416	6242	573	0.0508132384002383	96	13092500
20210927 171916	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	128	TRUE	0.0493509975836705	0.23809476587039	3225	508	0.0490270321636088	97	13788750
20210927 172012	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0403266065078322	0.241672533096303	5277	167	0.053719036684616	98	13141250
20210927 172125	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	326	TRUE	0.0379027826575655	0.215355501608481	7402	573	0.0532023375775281	99	13157500
20210927 172256	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	260	TRUE	0.0301268367479183	0.358099686081358	1822	782	0.0417098442091944	100	13942500
20210927 172346	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	130	TRUE	0.0372957193118334	0.209850130977109	1223	417	0.0430518687206681	101	13835000
20210927 172429	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.0475517750732321	0.380103207775741	3892	739	0.0434838292503881	102	13617500
20210927 172547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	279	TRUE	0.0350702041136008	0.340760661939043	5830	122	0.0473739500901371	103	13462500
20210927 172627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	181	TRUE	0.0384061416720785	0.115208401581179	4195	590	0.0462373644439213	104	13398750
20210927 172736	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	236	TRUE	0.0508510259744339	0.382004359933757	7380	893	0.0512731854080316	105	13405000
20210927 172853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	291	TRUE	0.0281982324733026	0.184020832733554	1871	628	0.0496565882409422	106	13386250
20210927 172936	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	118	TRUE	0.0519619411609601	0.269632847165852	4788	724	0.0436485737355158	107	13610000
20210927 173033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	248	TRUE	0.0294401453184895	0.131901670258539	2377	538	0.0514425297440204	108	12730000
20210927 173156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	186	TRUE	0.0204921148659382	0.385637553373864	1373	613	0.0514898656314006	109	13178750
20210927 173232	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	0.0565862122280803	0.234931204595906	5896	112	0.053373804364698	110	13256250
20210927 173322	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	159	TRUE	0.0318020155210793	0.291562323500263	7323	1013	0.0433650448668317	111	12993750
20210927 173425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	257	TRUE	0.0295617850234359	0.167968564647692	2569	555	0.0546228334224748	112	13321250
20210927 173550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	255	TRUE	0.0229945432740543	0.32869001429528	2439	884	0.0547551718566101	113	13350000
20210927 173708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	271	TRUE	0.0314499954024982	0.354099100452405	6896	677	0.0412927821140294	114	13522500
20210927 173758	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	166	TRUE	0.0516870866470598	0.265856016561785	4411	277	0.0497116528444691	115	13415000
20210927 173836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0586135855474044	0.323462868424109	4223	1014	0.0527091003270773	116	13407500
20210927 173931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	176	TRUE	0.0484636911894847	0.347288326894259	5234	479	0.0512546179570467	117	13138750
20210927 174038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	206	TRUE	0.0265553195306286	0.239355606454215	2054	541	0.0478398017044947	118	13518750
20210927 174121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0.0471589809254557	0.210373473950918	6253	969	0.040503901048596	119	13925000
20210927 174221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	183	TRUE	0.0421665552771557	0.346296364472574	3828	204	0.0469180640759226	120	13740000
20210927 174339	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	267	TRUE	0.034159894194752	0.366839624157385	5422	218	0.0475924757132516	121	13572500
20210927 174432	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	166	TRUE	0.0360446098182723	0.253498378619761	3177	902	0.0422103886018845	122	13975000
20210927 174523	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0588600091529358	0.385501649530279	2957	635	0.0544511524371419	123	13556250
20210927 174624	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	199	TRUE	0.0464550481401756	0.366449082163465	6886	272	0.0535648579956777	124	13136250
