Feature	Gain	Cover	Frequency
ccomisiones_mantenimiento	0.00215955872276174	0.00224676502933935	0.00138568129330254
canarito39	0.00215639429735926	0.0035259635269406	0.0058891454965358
canarito20	0.00214921020100645	0.00336017756827478	0.00519630484988453
Visa_Fvencimiento_lag1	0.00214658593313505	0.00144925606558004	0.00427251732101617
canarito59	0.00214148070195202	0.00664281775545146	0.00531177829099307
ccomisiones_otras	0.00211890054428716	0.00428294169943774	0.0035796766743649
canarito84	0.00211469933174035	0.0025909760595107	0.00508083140877598
canarito86	0.00206951249793496	0.00574414391690289	0.00531177829099307
canarito77	0.00206755744987948	0.00533055017115269	0.00623556581986143
Visa_fechaalta_lag1	0.00205672011948499	0.00251277046606351	0.00381062355658199
mcaja_ahorro_delta1	0.00204048016305231	0.00534226616100646	0.00508083140877598
canarito61	0.00202589358138583	0.00194914077420122	0.00484988452655889
mtransferencias_recibidas	0.00199030303717994	0.00258161118718145	0.00334872979214781
ctarjeta_visa_debitos_automaticos_delta1	0.0019882791356416	0.00993440951324517	0.00207852193995381
mcomisiones_otras	0.00198267448959075	0.00141068288901461	0.00300230946882217
canarito58	0.00196048964812654	0.00411450516512059	0.00508083140877598
Visa_mfinanciacion_limite	0.00193389209660208	0.00419080759080319	0.00473441108545035
canarito10	0.00193088036341193	0.00238031840417428	0.00473441108545035
canarito53	0.00192788902333803	0.00432120056871306	0.00427251732101617
canarito56	0.00189358806794035	0.00208605995938704	0.0046189376443418
canarito38	0.00187307989001997	0.00494257865669865	0.00427251732101617
canarito45	0.00186237232562456	0.00494562768489887	0.00531177829099307
canarito35	0.00185114190787368	0.00259603962420034	0.00519630484988453
canarito87	0.00184812895643708	0.00302146567825026	0.00450346420323326
canarito15	0.00183540574154009	0.00553837906087803	0.0046189376443418
canarito9	0.00183252833636828	0.00176748105995407	0.0046189376443418
mplazo_fijo_dolares	0.00181732908183681	0.00863757763421002	0.00207852193995381
canarito83	0.00179177492655593	0.00218351501820866	0.00450346420323326
canarito88	0.00178047483335623	0.00306246174329623	0.0046189376443418
ccaja_ahorro	0.00176157112472407	0.00744152455171799	0.00265588914549654
canarito32	0.00173699095003674	0.00280236379870999	0.00438799076212471
canarito16	0.00173233864863339	0.00515094211630325	0.0046189376443418
ctransferencias_emitidas_delta1	0.00171549925612308	0.00549966729212168	0.0035796766743649
canarito47	0.00171227269311414	0.00216248117837614	0.00438799076212471
canarito31	0.00170018288308062	0.0016753271524351	0.00415704387990762
mcuenta_corriente	0.00169401505660634	0.00217699376065381	0.00265588914549654
canarito30	0.00169359611002308	0.00247468978674795	0.00496535796766744
canarito75	0.00168893238264118	0.00346460925899285	0.00496535796766744
Visa_msaldototal_lag1	0.00168489034109434	0.00281615372170644	0.00392609699769053
ctarjeta_visa_transacciones_delta1	0.00167808167868143	0.0045402776996478	0.00219399538106236
Master_Fvencimiento	0.00165941717042229	0.00152514023982933	0.00381062355658199
canarito22	0.00164822736560116	0.00302491563385992	0.00415704387990762
cliente_antiguedad_lag1	0.00164752655942357	0.00347264760606615	0.00508083140877598
ccajas_consultas_delta1	0.00163352606429105	0.00698736536665789	0.00150115473441109
canarito80	0.00162920857104992	0.00236378138596497	0.00484988452655889
canarito29	0.0016289636971895	0.0016789354991201	0.00381062355658199
