fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	iteracion_bayesiana	ganancia
20210927 102249	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0432714847610332	0.241187291260576	3622	640	0.042089524691226	1	13657500
20210927 102326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.0530178896612488	0.170514486690518	6643	756	0.0428238462903537	2	13385000
20210927 102459	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	278	TRUE	0.0275381891974248	0.182112712885719	3424	673	0.0468231720498297	3	13692500
20210927 102602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.0457401208113879	0.325888142286567	4596	372	0.0495271301499451	4	13766250
20210927 102648	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	138	TRUE	0.0375279553751461	0.317101842818083	7345	839	0.0524422375670401	5	13180000
20210927 102740	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	149	TRUE	0.0392712399996817	0.274708846579306	5164	733	0.0501491279973416	6	13341250
20210927 102851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	250	TRUE	0.0295269346176647	0.290244442487601	5514	147	0.0451965443552472	7	13598750
20210927 102929	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	91	TRUE	0.0572829972878098	0.23358828651486	1906	987	0.0512248392762267	8	12776250
20210927 103010	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	131	TRUE	0.0353919735979289	0.202221412219806	4060	897	0.0441796331345104	9	13746250
20210927 103120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	207	TRUE	0.0326829683813266	0.300349162690109	2378	571	0.0411334200163838	10	13601250
20210927 103217	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	268	TRUE	0.0318940441804007	0.133426127256826	4221	507	0.0549210961149074	11	12963750
20210927 103250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0595376707562245	0.258235526374774	5746	423	0.0434559089213726	12	13297500
20210927 103328	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	182	TRUE	0.0472153320549987	0.117851020345697	7213	973	0.0516221593134687	13	13003750
20210927 103449	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	164	TRUE	0.0245598423467018	0.344887081622146	1009	304	0.0536910047618439	14	12845000
20210927 103526	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	103	TRUE	0.0490159157160669	0.156715605378849	1462	420	0.0479581690998166	15	13370000
20210927 103755	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	530	TRUE	0.0234242448336445	0.206540707185632	6152	533	0.0461127265512478	16	13770000
20210927 103837	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	90	TRUE	0.0540264588268474	0.377769346049754	2754	131	0.0528669531842461	17	13126250
20210927 104014	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	321	TRUE	0.0204487102604471	0.393150230137398	6502	274	0.0403060459955595	18	13473750
20210927 104111	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	343	TRUE	0.0505671772425994	0.105699945254019	7998	230	0.0454678211781429	19	13317500
20210927 104241	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	183	TRUE	0.0405429831445217	0.361940725588938	2718	865	0.0487871603856329	20	13925000
20210927 104410	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.0375504446307853	0.380452966439423	4467	610	0.0479959862958941	21	14143750
20210927 104531	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	245	TRUE	0.0311000566985107	0.399694558680824	4809	804	0.0470006730566207	22	13498750
20210927 104639	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	206	TRUE	0.0393623237818596	0.367694772554078	4530	421	0.0482972738272066	23	13551250
20210927 104814	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	311	TRUE	0.0280384210940394	0.377023753710422	4525	607	0.0464781208812485	24	13767500
20210927 104931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	238	TRUE	0.0324962571096222	0.385584902008124	5151	677	0.0481141889152704	25	13911250
20210927 105031	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	145	TRUE	0.0408173468177149	0.379033666758737	2619	681	0.0478061167354279	26	13370000
20210927 105156	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	275	TRUE	0.0383741753005218	0.383010539903669	4612	657	0.0464714424179037	27	13720000
20210927 105246	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	0.0490649191268161	0.333268592722947	3482	521	0.0546544127813855	28	13351250
20210927 105404	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	289	TRUE	0.0354465886411443	0.252643683010293	4539	791	0.045549360165277	29	13750000
20210927 105525	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	277	TRUE	0.0281563663257658	0.334848563054623	5939	431	0.0448493884110288	30	13428750
20210927 105611	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	109	TRUE	0.0477200895830244	0.383300558868609	4011	239	0.0431245096917544	31	13821250
20210927 105701	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	179	TRUE	0.0436859612611216	0.255371629025927	7393	858	0.047549371818325	32	13550000
20210927 105835	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	413	TRUE	0.0232295421812031	0.202746598414984	4938	579	0.0458615033447871	33	13832500
20210927 105918	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	171	TRUE	0.0472703868273646	0.100224199597677	1339	182	0.0402118482695625	34	13246250
20210927 110058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	298	TRUE	0.0214774831080623	0.380860332728364	3430	332	0.0480075010812085	35	13735000
20210927 110155	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	264	TRUE	0.0353112850273028	0.169212742519868	7309	481	0.0531053164251405	36	13611250
20210927 110325	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	335	TRUE	0.0215582283482701	0.23783833198566	3526	634	0.0542453654172528	37	13695000
20210927 110504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	415	TRUE	0.0214261863927543	0.178604903691565	3904	397	0.054838586672683	38	13580000
20210927 110626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	379	TRUE	0.020793215559274	0.149174655795563	5809	582	0.0482131209870917	39	13701250
20210927 110720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	129	TRUE	0.0520642284099385	0.32519857637086	2806	670	0.0405216156284232	40	13765000
