Feature	Gain	Cover	Frequency
canarito43	0.00347246434746014	0.00486452270825391	0.00533056420906888
mcaja_ahorro_delta1	0.00344768011119385	0.00690391250436988	0.00498442367601246
Master_status	0.003442969933325	0.00374103449992839	0.000969193492557979
canarito11	0.00341537080336133	0.00490677073726521	0.00609207338179301
mcomisiones_lag1	0.0033929118147304	0.00394051693879778	0.00595361716857044
canarito66	0.0033853833663112	0.00796409699483184	0.00560747663551402
Visa_mpagominimo_lag1	0.00338047320756438	0.00510206253606017	0.00546902042229145
mtransferencias_recibidas_lag1	0.00331973972749949	0.00429507963150874	0.00449982692973347
canarito49	0.00329702100527125	0.00202353255072561	0.00512287988923503
canarito27	0.00328716778803877	0.00326104868281568	0.00533056420906888
Master_Fvencimiento_lag1	0.00327671151878656	0.00220463538883375	0.00505365178262375
cproductos_delta1	0.00321789937721115	0.00338702790211861	0.00110764970578055
Visa_Fvencimiento	0.00320813120050705	0.00202490665553262	0.00470751124956732
canarito18	0.0032075055974245	0.0022053509102595	0.00505365178262375
mrentabilidad_annual_delta1	0.00317628258088269	0.00333429188531232	0.00422291450328834
mcomisiones_otras	0.00309652202776438	0.0026890452920033	0.00401523018345448
canarito61	0.0030625158568444	0.00243263429831836	0.00505365178262375
canarito76	0.0030530392922956	0.00277411832221006	0.00498442367601246
canarito85	0.00304072682272124	0.00324714820822095	0.0052613361024576
canarito25	0.00303612290434965	0.00276034121337839	0.00539979231568017
canarito9	0.00303396528500522	0.0033484656625206	0.00553824852890274
canarito86	0.00303385364953048	0.00328619631913193	0.00491519556940118
chomebanking_transacciones_lag1	0.00300798349437777	0.00348848200772503	0.00422291450328834
mpagomiscuentas	0.00299765356913594	0.00332097977051064	0.00269989615784008
canarito10	0.00299294316992539	0.0043904091014629	0.00519210799584631
canarito6	0.00296408418677145	0.00316644991776581	0.00470751124956732
cliente_edad_lag1	0.00295883544221958	0.00357753500724162	0.00449982692973347
canarito13	0.002910952075723	0.00466254638303587	0.00533056420906888
Visa_fechaalta_lag1	0.00290562357005843	0.0047698499237462	0.00449982692973347
canarito2	0.00290482611283315	0.00249308731808781	0.00484596746278989
canarito72	0.00288253264414436	0.00300440234521352	0.00484596746278989
Master_Fvencimiento	0.00285889561290742	0.00232677129013362	0.00401523018345448
canarito68	0.00282737456378921	0.00294210643073743	0.00463828314295604
canarito87	0.00282672511091596	0.00293562118747006	0.00498442367601246
mtransferencias_recibidas	0.00280865368977051	0.00428105958702058	0.00366908965039806
canarito70	0.00277235576426638	0.00259203425180188	0.00456905503634476
mcomisiones_mantenimiento_delta1	0.00273055639749336	0.00237489152946662	0.000761509172724126
canarito79	0.0027163590663424	0.0027246068966567	0.00512287988923503
canarito28	0.0027118022151641	0.00210614585741042	0.00456905503634476
canarito54	0.00270693746439278	0.00223849454595691	0.00477673935617861
canarito17	0.00268540055889665	0.00253079169114884	0.00422291450328834
Visa_fechaalta	0.00267517118567661	0.00327250651530181	0.00546902042229145
canarito37	0.00267108399381719	0.00218877244963894	0.00443059882312219
canarito46	0.00265607755066584	0.00218739265102747	0.00484596746278989
canarito22	0.00262269784409307	0.00326281376219486	0.0052613361024576
canarito19	0.00260140958326884	0.00372117451001041	0.00443059882312219
mcomisiones	0.0025954592225845	0.00198839038966661	0.00456905503634476
canarito64	0.00259502502252827	0.00313039674799498	0.00491519556940118
canarito7	0.00258790359995695	0.00304169486641941	0.00422291450328834
canarito45	0.00256573657003405	0.0025173562105841	0.0039460020768432
canarito69	0.00255728777060697	0.00245927181346542	0.00463828314295604
canarito90	0.00254014335797011	0.0044110035921548	0.0043613707165109
canarito59	0.00253302815518559	0.00230493175420222	0.00429214260989962
canarito24	0.00253279995904225	0.00250582246070532	0.00498442367601246
canarito57	0.00252254286274068	0.00441466470841548	0.00408445829006577
canarito35	0.00251213167108334	0.00282595092204378	0.00422291450328834
Visa_mconsumospesos	0.00249314882163839	0.00518560962667461	0.00560747663551402
canarito67	0.00245841864113304	0.00214109253118333	0.00449982692973347
numero_de_cliente	0.00243007065563284	0.00318852479761443	0.00443059882312219
mrentabilidad_delta1	0.00242986801537388	0.00148462914310986	0.0030460366908965
canarito53	0.00240004874153429	0.00237654842656127	0.00422291450328834
canarito77	0.00239204046293466	0.0019987853786556	0.00443059882312219
canarito33	0.00238800322838958	0.00336200932536987	0.00498442367601246
canarito62	0.00237987344146302	0.00167667737130372	0.00401523018345448
canarito14	0.0023721895722884	0.00172729149698536	0.00401523018345448
